label,x,y,z
Fp1,-29.0,83.0,-6.0
Fpz,1.0,89.0,-1.0
Fp2,30.0,84.0,-7.0
AF9,-48.0,63.0,-47.0
AF7,-53.0,67.0,-10.0
AF5,-45.0,72.0,6.0
AF3,-34.0,78.0,22.0
AF1,-18.0,82.0,34.0
AFz,1.0,84.0,37.0
AF2,21.0,82.0,34.0
AF4,37.0,78.0,23.0
AF6,47.0,72.0,6.0
AF8,54.0,67.0,-10.0
AF10,51.0,63.0,-47.0
F9,-68.0,40.0,-49.0
F7,-69.0,42.0,-11.0
F5,-68.0,50.0,18.0
F3,-50.0,53.0,43.0
F1,-28.0,58.0,63.0
Fz,1.0,61.0,71.0
F2,31.0,59.0,63.0
F4,53.0,54.0,41.0
F6,65.0,46.0,16.0
F8,71.0,43.0,-11.0
F10,72.0,41.0,-50.0
FT9,-79.0,13.0,-47.0
FT7,-79.0,13.0,-11.0
FC5,-75.0,18.0,25.0
FC3,-61.0,23.0,57.0
FC1,-34.0,26.0,82.0
FCz,1.0,28.0,91.0
FC2,36.0,27.0,82.0
FC4,63.0,23.0,57.0
FC6,77.0,19.0,24.0
FT8,81.0,15.0,-11.0
FT10,81.0,13.0,-48.0
T9,-79.0,-15.0,-44.0
T7,-81.0,-16.0,-9.0
C5,-82.0,-15.0,31.0
C3,-68.0,-13.0,67.0
C1,-37.0,-11.0,94.0
Cz,1.0,-10.0,103.0
C2,40.0,-11.0,92.0
C4,71.0,-12.0,67.0
C6,82.0,-13.0,29.0
T8,82.0,-15.0,-9.0
T10,82.0,-16.0,-46.0
TP9,-82.0,-46.0,-44.0
TP7,-81.0,-45.0,-6.0
CP5,-80.0,-48.0,32.0
CP3,-65.0,-49.0,69.0
CP1,-36.0,-48.0,93.0
CPz,1.0,-49.0,101.0
CP2,39.0,-48.0,93.0
CP4,69.0,-49.0,68.0
CP6,81.0,-45.0,31.0
TP8,81.0,-44.0,-6.0
TP10,83.0,-46.0,-44.0
P9,-72.0,-74.0,-40.0
P7,-74.0,-77.0,-2.0
P5,-70.0,-81.0,30.0
P3,-53.0,-80.0,57.0
P1,-28.0,-82.0,76.0
Pz,1.0,-81.0,83.0
P2,33.0,-81.0,78.0
P4,57.0,-80.0,58.0
P6,71.0,-80.0,30.0
P8,75.0,-76.0,-2.0
P10,73.0,-74.0,-40.0
PO9,-54.0,-99.0,-35.0
PO7,-56.0,-101.0,3.0
PO5,-49.0,-103.0,23.0
PO3,-37.0,-104.0,39.0
PO1,-19.0,-106.0,49.0
POz,1.0,-105.0,52.0
PO2,21.0,-106.0,48.0
PO4,39.0,-105.0,38.0
PO6,51.0,-102.0,23.0
PO8,57.0,-100.0,3.0
PO10,56.0,-99.0,-35.0
O1,-30.0,-117.0,10.0
Oz,1.0,-120.0,16.0
O2,31.0,-116.0,10.0
O9,-30.0,-116.0,-29.0
O10,31.0,-117.0,-29.0
T3,-81.0,-16.0,-9.0
T5,-74.0,-77.0,-2.0
T4,82.0,-15.0,-9.0
T6,75.0,-76.0,-2.0
