label,x,y,z
Fp1,-29.3691867953116,83.7246357513188,-6.9739684033613
Fp2,29.4500026779134,83.6957476439332,-6.9799117898396
F7,-75.4388048745776,45.603162264641405,-12.261252405859599
F3,-52.974606844807504,55.997853248678304,44.4851824901007
Fz,0.313789631567,58.809926080232,66.8004051672201
F4,53.989415682139494,56.560558465617596,42.5093662662549
F8,75.3036149411916,45.7964488340874,-12.3713722349448
T7,-86.9147748841962,-16.5428173400475,-9.6517926461001
C3,-62.91200822345749,-11.1963720801674,61.949337958803596
Cz,0.3544507349905,-8.104888719527,88.62948236067129
C4,64.1679087004391,-10.4212058960038,60.785507817943
T8,87.1206375790449,-15.3805788750166,-9.7176283778558
P7,-62.4735128938322,-63.3518678379827,-2.1450007326219
P3,-42.805421130225,-63.6241604255253,45.1736884924301
Pz,0.2495968491636,-62.3530902984526,63.50614010980279
P4,44.3668548867184,-62.6131779550714,45.079619938808605
P8,62.90807186048231,-62.9189216874697,-2.1871873450754
O1,-22.457251861110898,-85.8552739407911,6.7486128499377
O2,22.8194553004283,-85.7612550070986,6.7290117698782
