label,x,y,z
minus32_minus32_0,-0.15,-0.15,0.00234375
minus32_minus32_1,-0.15,-0.15,0.00703125
minus32_minus32_2,-0.15,-0.15,0.01171875
minus32_minus32_3,-0.15,-0.15,0.01640625
minus32_minus32_4,-0.15,-0.15,0.02109375
minus32_minus32_5,-0.15,-0.15,0.02578125
minus32_minus32_6,-0.15,-0.15,0.03046875
minus32_minus32_7,-0.15,-0.15,0.03515625
minus32_minus32_8,-0.15,-0.15,0.039843750000000004
minus32_minus32_9,-0.15,-0.15,0.04453125
minus32_minus32_10,-0.15,-0.15,0.04921875
minus32_minus32_11,-0.15,-0.15,0.05390624999999999
minus32_minus32_12,-0.15,-0.15,0.05859375
minus32_minus32_13,-0.15,-0.15,0.06328125
minus32_minus32_14,-0.15,-0.15,0.06796875
minus32_minus32_15,-0.15,-0.15,0.07265624999999999
minus32_minus32_16,-0.15,-0.15,0.07734374999999999
minus32_minus32_17,-0.15,-0.15,0.08203124999999999
minus32_minus32_18,-0.15,-0.15,0.08671874999999998
minus32_minus32_19,-0.15,-0.15,0.09140625000000001
minus32_minus32_20,-0.15,-0.15,0.09609375
minus32_minus32_21,-0.15,-0.15,0.1007812499999
minus32_minus32_22,-0.15,-0.15,0.1054687499999
minus32_minus32_23,-0.15,-0.15,0.1101562499999
minus32_minus32_24,-0.15,-0.15,0.11484375
minus32_minus32_25,-0.15,-0.15,0.11953124999999999
minus32_minus32_26,-0.15,-0.15,0.12421875
minus32_minus32_27,-0.15,-0.15,0.12890625
minus32_minus32_28,-0.15,-0.15,0.13359375
minus32_minus32_29,-0.15,-0.15,0.13828125
minus32_minus32_30,-0.15,-0.15,0.14296875
minus32_minus32_31,-0.15,-0.15,0.14765625
minus32_minus32_32,-0.15,-0.15,0.15234375
minus32_minus32_33,-0.15,-0.15,0.15703125
minus32_minus32_34,-0.15,-0.15,0.16171875
minus32_minus32_35,-0.15,-0.15,0.16640625
minus32_minus32_36,-0.15,-0.15,0.17109375
minus32_minus32_37,-0.15,-0.15,0.17578125
minus32_minus32_38,-0.15,-0.15,0.18046874999999998
minus32_minus32_39,-0.15,-0.15,0.18515625
minus32_minus32_40,-0.15,-0.15,0.18984374999999998
minus32_minus32_41,-0.15,-0.15,0.19453125
minus32_minus32_42,-0.15,-0.15,0.19921875
minus32_minus32_43,-0.15,-0.15,0.2039062499999
minus32_minus32_44,-0.15,-0.15,0.2085937499999
minus32_minus32_45,-0.15,-0.15,0.2132812499999
minus32_minus32_46,-0.15,-0.15,0.21796874999989999
minus32_minus32_47,-0.15,-0.15,0.2226562499999
minus32_minus32_48,-0.15,-0.15,0.22734375
minus32_minus32_49,-0.15,-0.15,0.23203125
minus32_minus32_50,-0.15,-0.15,0.23671875
minus32_minus32_51,-0.15,-0.15,0.24140625000000002
minus32_minus32_52,-0.15,-0.15,0.24609375
minus32_minus32_53,-0.15,-0.15,0.25078124999999996
minus32_minus32_54,-0.15,-0.15,0.25546875
minus32_minus32_55,-0.15,-0.15,0.2601562499999
minus32_minus32_56,-0.15,-0.15,0.26484375
minus32_minus32_57,-0.15,-0.15,0.2695312499999
minus32_minus32_58,-0.15,-0.15,0.27421875
minus32_minus32_59,-0.15,-0.15,0.2789062499999
minus32_minus32_60,-0.15,-0.15,0.28359375
