label,x,y,z
A_00,-6000.0,0.0,46000.0
A_01,-6000.0,0.0,48500.0
A_02,-6000.0,0.0,51000.0
A_03,-6000.0,0.0,53500.0
A_04,-6000.0,0.0,56000.0
A_05,-6000.0,0.0,58500.0
A_06,-6000.0,0.0,61000.0
A_07,-6000.0,0.0,63500.0
A_08,-6000.0,0.0,66000.0
A_09,-6000.0,0.0,68500.0
A_10,-6000.0,0.0,71000.0
A_11,-6000.0,0.0,73500.0
A_12,-6000.0,0.0,76000.0
A_13,-6000.0,0.0,78899.99999999999
B_00,-3000.0,0.0,46000.0
B_01,-3000.0,0.0,48500.0
B_02,-3000.0,0.0,51000.0
B_03,-3000.0,0.0,53500.0
B_04,-3000.0,0.0,56000.0
B_05,-3000.0,0.0,58500.0
B_06,-3000.0,0.0,61000.0
B_07,-3000.0,0.0,63500.0
B_08,-3000.0,0.0,66000.0
B_09,-3000.0,0.0,68500.0
B_10,-3000.0,0.0,71000.0
B_11,-3000.0,0.0,73500.0
B_12,-3000.0,0.0,76000.0
B_13,-3000.0,0.0,78899.99999999999
C_00,0.0,0.0,46000.0
C_01,0.0,0.0,48500.0
C_02,0.0,0.0,51000.0
C_03,0.0,0.0,53500.0
C_04,0.0,0.0,56000.0
C_05,0.0,0.0,58500.0
C_06,0.0,0.0,61000.0
C_07,0.0,0.0,63500.0
C_08,0.0,0.0,66000.0
C_09,0.0,0.0,68500.0
C_10,0.0,0.0,71000.0
C_11,0.0,0.0,73500.0
C_12,0.0,0.0,76000.0
C_13,0.0,0.0,78899.99999999999
D_00,3000.0,0.0,46000.0
D_01,3000.0,0.0,48500.0
D_02,3000.0,0.0,51000.0
D_03,3000.0,0.0,53500.0
D_04,3000.0,0.0,56000.0
D_05,3000.0,0.0,58500.0
D_06,3000.0,0.0,61000.0
D_07,3000.0,0.0,63500.0
D_08,3000.0,0.0,66000.0
D_09,3000.0,0.0,68500.0
D_10,3000.0,0.0,71000.0
D_11,3000.0,0.0,73500.0
D_12,3000.0,0.0,76000.0
D_13,3000.0,0.0,78899.99999999999
E_00,6000.0,0.0,46000.0
E_01,6000.0,0.0,48500.0
E_02,6000.0,0.0,51000.0
E_03,6000.0,0.0,53500.0
E_04,6000.0,0.0,56000.0
E_05,6000.0,0.0,58500.0
E_06,6000.0,0.0,61000.0
E_07,6000.0,0.0,63500.0
E_08,6000.0,0.0,66000.0
E_09,6000.0,0.0,68500.0
E_10,6000.0,0.0,71000.0
E_11,6000.0,0.0,73500.0
E_12,6000.0,0.0,76000.0
E_13,6000.0,0.0,78899.99999999999
