label,x,y,z
A_00,-6.0,0.0,46.0
A_01,-6.0,0.0,48.5
A_02,-6.0,0.0,51.0
A_03,-6.0,0.0,53.5
A_04,-6.0,0.0,56.0
A_05,-6.0,0.0,58.5
A_06,-6.0,0.0,61.0
A_07,-6.0,0.0,63.5
A_08,-6.0,0.0,66.0
A_09,-6.0,0.0,68.5
A_10,-6.0,0.0,71.0
A_11,-6.0,0.0,73.5
A_12,-6.0,0.0,76.0
A_13,-6.0,0.0,78.89999999999999
B_00,-3.0,0.0,46.0
B_01,-3.0,0.0,48.5
B_02,-3.0,0.0,51.0
B_03,-3.0,0.0,53.5
B_04,-3.0,0.0,56.0
B_05,-3.0,0.0,58.5
B_06,-3.0,0.0,61.0
B_07,-3.0,0.0,63.5
B_08,-3.0,0.0,66.0
B_09,-3.0,0.0,68.5
B_10,-3.0,0.0,71.0
B_11,-3.0,0.0,73.5
B_12,-3.0,0.0,76.0
B_13,-3.0,0.0,78.89999999999999
C_00,0.0,0.0,46.0
C_01,0.0,0.0,48.5
C_02,0.0,0.0,51.0
C_03,0.0,0.0,53.5
C_04,0.0,0.0,56.0
C_05,0.0,0.0,58.5
C_06,0.0,0.0,61.0
C_07,0.0,0.0,63.5
C_08,0.0,0.0,66.0
C_09,0.0,0.0,68.5
C_10,0.0,0.0,71.0
C_11,0.0,0.0,73.5
C_12,0.0,0.0,76.0
C_13,0.0,0.0,78.89999999999999
D_00,3.0,0.0,46.0
D_01,3.0,0.0,48.5
D_02,3.0,0.0,51.0
D_03,3.0,0.0,53.5
D_04,3.0,0.0,56.0
D_05,3.0,0.0,58.5
D_06,3.0,0.0,61.0
D_07,3.0,0.0,63.5
D_08,3.0,0.0,66.0
D_09,3.0,0.0,68.5
D_10,3.0,0.0,71.0
D_11,3.0,0.0,73.5
D_12,3.0,0.0,76.0
D_13,3.0,0.0,78.89999999999999
E_00,6.0,0.0,46.0
E_01,6.0,0.0,48.5
E_02,6.0,0.0,51.0
E_03,6.0,0.0,53.5
E_04,6.0,0.0,56.0
E_05,6.0,0.0,58.5
E_06,6.0,0.0,61.0
E_07,6.0,0.0,63.5
E_08,6.0,0.0,66.0
E_09,6.0,0.0,68.5
E_10,6.0,0.0,71.0
E_11,6.0,0.0,73.5
E_12,6.0,0.0,76.0
E_13,6.0,0.0,78.89999999999999
